City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
202,Longyearbyen,78.22,15.64,26.6,73,20,9.17,SJ,2020-10-18 21:31:19,Clouds
203,Saint Anthony,45.02,-93.22,35.6,50,90,8.05,US,2020-10-18 21:31:19,Clouds
204,Bonthe,7.53,-12.51,78.53,88,100,5.79,SL,2020-10-18 21:31:19,Clouds
205,Bekhtery,46.25,32.29,55.92,56,96,6.46,UA,2020-10-18 21:31:19,Clouds
206,South Lake Tahoe,38.93,-119.98,73.4,15,1,3.36,US,2020-10-18 21:31:19,Clear
207,San Patricio,28.02,-97.52,89.6,52,40,20.8,US,2020-10-18 21:31:19,Clouds
208,Usinsk,65.99,57.53,25.7,96,53,4.97,RU,2020-10-18 21:31:19,Clouds
209,Mangrol,21.12,70.12,81.82,84,92,6.06,IN,2020-10-18 21:31:19,Clouds
210,Mar Del Plata,-38.0,-57.56,69.8,83,40,5.82,AR,2020-10-18 21:31:16,Clouds
211,Yar-Sale,66.83,70.83,18.72,96,25,6.46,RU,2020-10-18 21:31:20,Clouds
212,Wanaka,-44.7,169.15,52.38,73,94,1.21,NZ,2020-10-18 21:31:20,Clouds
213,Arlit,18.74,7.39,91.99,12,0,5.93,NE,2020-10-18 21:31:20,Clear
214,Cidreira,-30.18,-50.21,68.13,84,52,22.15,BR,2020-10-18 21:31:20,Clouds
215,Morant Bay,17.88,-76.41,82.4,78,40,21.92,JM,2020-10-18 21:31:20,Rain
216,East London,-33.02,27.91,63.19,73,36,5.39,ZA,2020-10-18 21:31:20,Clouds
217,Makinsk,52.63,70.42,30.11,89,7,6.26,KZ,2020-10-18 21:31:20,Clear
218,Coihaique,-45.58,-72.07,41.0,75,90,5.82,CL,2020-10-18 21:31:21,Rain
219,Chapais,49.78,-74.85,46.4,75,90,16.11,CA,2020-10-18 21:31:21,Rain
220,Melaka,2.2,102.24,78.8,88,20,3.36,MY,2020-10-18 21:31:21,Clouds
221,Meppen,52.69,7.29,48.2,93,96,5.21,DE,2020-10-18 21:31:21,Clouds
222,Bengkulu,-3.8,102.27,74.89,92,100,4.97,ID,2020-10-18 21:31:22,Clouds
223,Gisborne,-38.65,178.0,61.45,69,72,6.89,NZ,2020-10-18 21:31:15,Clouds
